Variable:,tasmin
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,9.83,10.44,12.82,14.29,14.24,9.75,7.74,13.90,11.90,8.16,9.16,12.83,7.54,12.12,13.96,16.24,12.08,3.53,11.61,3.40,10.40
2007,9.71,10.08,12.54,14.11,13.96,9.67,7.93,13.62,11.75,8.13,8.92,12.55,7.37,11.85,13.79,16.17,11.91,3.71,11.33,3.21,10.53
2008,10.01,10.53,12.82,14.26,14.29,10.10,8.02,14.00,12.02,8.33,9.48,12.90,7.64,12.19,13.91,16.34,12.30,3.78,11.85,3.45,10.79
2009,9.84,10.30,12.88,14.34,14.25,9.76,7.84,13.82,11.89,8.19,9.03,12.82,7.55,12.13,13.85,16.33,12.00,3.65,11.49,3.42,10.51
2010,10.11,10.64,13.15,14.55,14.57,10.05,8.01,14.14,12.04,8.38,9.45,13.21,7.70,12.50,14.08,16.54,12.32,3.87,11.84,3.57,10.65
2011,10.08,10.61,12.97,14.35,14.44,10.09,8.09,14.09,12.10,8.48,9.40,13.12,7.69,12.27,14.05,16.44,12.36,3.99,11.85,3.51,10.86
2012,10.00,10.48,13.00,14.34,14.39,10.02,7.93,13.94,12.22,8.44,9.30,13.07,7.88,12.29,14.03,16.31,12.28,3.73,11.71,3.71,10.55
2013,9.86,10.41,12.85,14.36,14.23,9.77,7.83,13.83,11.79,8.15,9.15,12.83,7.51,12.20,13.81,16.35,12.03,3.57,11.55,3.47,10.46
2014,10.00,10.45,12.80,14.28,14.28,10.00,8.06,13.97,12.13,8.43,9.20,12.89,7.83,12.14,14.09,16.42,12.26,3.85,11.66,3.76,10.74
2015,10.17,10.83,13.13,14.62,14.60,10.04,8.03,14.28,12.08,8.44,9.52,13.27,7.76,12.47,14.20,16.63,12.42,3.96,12.01,3.63,10.74
2016,10.16,10.62,13.24,14.53,14.49,10.15,8.20,14.14,12.23,8.60,9.45,13.04,7.96,12.37,14.19,16.58,12.40,4.05,11.91,3.79,10.78
2017,10.09,10.61,13.02,14.49,14.49,10.05,8.10,14.13,12.14,8.47,9.33,13.12,7.80,12.30,14.16,16.57,12.32,3.89,11.79,3.62,10.77
2018,10.09,10.65,12.97,14.41,14.42,10.07,7.98,14.15,12.22,8.42,9.45,13.04,7.87,12.35,14.14,16.49,12.43,3.80,11.89,3.79,10.69
2019,10.18,10.64,13.05,14.46,14.46,10.17,8.22,14.05,12.24,8.56,9.46,13.10,7.98,12.48,14.07,16.55,12.32,4.00,11.85,3.89,10.85
2020,10.45,10.99,13.28,14.78,14.70,10.38,8.51,14.37,12.41,8.86,9.76,13.31,8.14,12.66,14.35,16.75,12.59,4.38,12.14,4.04,11.16
2021,10.24,10.79,13.05,14.54,14.55,10.18,8.31,14.27,12.40,8.65,9.49,13.25,8.11,12.44,14.23,16.56,12.47,4.17,11.96,4.03,10.81
2022,10.44,11.00,13.38,14.80,14.81,10.41,8.33,14.42,12.52,8.79,9.77,13.44,8.21,12.74,14.45,16.82,12.63,4.22,12.15,4.15,11.05
2023,10.51,11.07,13.47,14.86,14.86,10.45,8.54,14.52,12.54,8.80,9.83,13.52,8.19,12.81,14.62,16.95,12.71,4.25,12.26,4.11,11.17
2024,10.45,10.98,13.37,14.82,14.79,10.41,8.54,14.41,12.55,8.85,9.72,13.41,8.24,12.71,14.35,16.75,12.62,4.35,12.14,4.05,11.06
2025,10.59,11.11,13.40,14.84,14.85,10.60,8.54,14.56,12.68,8.95,9.93,13.57,8.37,12.81,14.59,17.01,12.84,4.35,12.39,4.34,11.22
2026,10.57,11.13,13.48,14.92,14.91,10.54,8.50,14.57,12.64,8.99,9.82,13.64,8.32,12.88,14.52,16.98,12.81,4.42,12.30,4.24,11.22
2027,10.56,11.07,13.65,15.03,14.98,10.51,8.46,14.48,12.60,8.82,10.00,13.58,8.28,12.91,14.49,17.09,12.71,4.22,12.30,4.15,11.22
2028,10.74,11.16,13.61,15.16,15.02,10.73,8.76,14.61,12.78,9.17,9.97,13.65,8.40,12.92,14.73,17.08,12.95,4.69,12.38,4.21,11.51
2029,10.88,11.51,13.94,15.31,15.37,10.76,8.80,14.99,12.84,9.05,10.23,13.99,8.51,13.33,15.03,17.26,13.13,4.49,12.68,4.36,11.41
2030,10.58,11.10,13.62,14.92,14.96,10.52,8.59,14.59,12.45,8.91,9.85,13.54,8.24,13.02,14.45,16.98,12.80,4.35,12.30,4.20,11.21
2031,10.57,10.99,13.49,14.96,14.90,10.44,8.39,14.54,12.63,8.87,9.79,13.50,8.38,12.93,14.82,17.23,12.75,4.35,12.23,4.45,11.06
2032,10.92,11.50,13.95,15.38,15.30,10.95,8.79,14.92,12.95,9.22,10.35,13.92,8.59,13.24,14.71,17.30,13.26,4.61,12.75,4.47,11.53
2033,11.00,11.66,13.85,15.31,15.34,11.03,8.94,15.10,12.99,9.27,10.43,14.00,8.67,13.20,14.99,17.38,13.28,4.71,12.85,4.62,11.62
2034,10.76,11.29,13.73,15.23,15.10,10.74,8.60,14.75,12.74,9.02,10.09,13.70,8.38,13.09,14.74,17.28,13.01,4.61,12.53,4.30,11.37
2035,10.84,11.39,13.90,15.32,15.27,10.78,8.82,14.81,12.81,9.12,10.23,13.88,8.47,13.27,14.64,17.17,12.98,4.48,12.58,4.31,11.63
2036,11.05,11.73,13.98,15.46,15.46,11.10,8.96,15.18,13.00,9.30,10.51,14.11,8.60,13.25,15.09,17.46,13.32,4.83,12.94,4.36,11.51
2037,10.97,11.58,13.91,15.36,15.34,10.89,8.99,15.03,13.09,9.26,10.27,13.99,8.68,13.22,15.01,17.46,13.23,4.67,12.75,4.50,11.65
2038,11.03,11.74,13.97,15.33,15.47,10.96,8.98,15.04,13.08,9.36,10.41,14.13,8.76,13.34,15.11,17.34,13.22,4.76,12.81,4.61,11.63
2039,11.13,11.67,14.11,15.57,15.42,11.08,9.15,15.05,13.16,9.53,10.40,14.02,8.86,13.47,15.04,17.50,13.28,4.88,12.82,4.79,11.74
2040,11.12,11.57,14.05,15.49,15.42,11.03,9.21,15.07,13.07,9.48,10.36,14.03,8.77,13.37,15.11,17.55,13.32,5.03,12.81,4.69,11.89
2041,11.24,11.71,14.08,15.47,15.55,11.15,9.15,15.13,13.26,9.71,10.61,14.20,9.10,13.48,15.08,17.48,13.45,5.10,12.92,5.19,11.85
2042,11.25,11.86,14.16,15.65,15.54,11.20,9.29,15.20,13.28,9.56,10.64,14.19,8.94,13.59,15.12,17.56,13.44,4.97,12.98,4.83,11.93
2043,11.42,11.89,14.40,15.84,15.78,11.31,9.53,15.38,13.41,9.70,10.67,14.37,9.07,13.76,15.45,17.81,13.58,5.20,13.10,4.87,12.13
2044,11.49,12.05,14.42,15.79,15.83,11.47,9.65,15.53,13.40,9.77,10.83,14.45,9.04,13.78,15.36,17.86,13.69,5.29,13.23,4.95,12.28
2045,11.60,12.15,14.52,15.83,15.95,11.61,9.75,15.60,13.62,10.01,10.93,14.56,9.33,13.89,15.29,17.81,13.85,5.48,13.37,5.15,12.37
2046,11.42,11.92,14.24,15.68,15.73,11.54,9.48,15.36,13.59,9.83,10.78,14.38,9.29,13.58,15.21,17.69,13.65,5.35,13.16,5.13,11.99
