Variable:,tasmin
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,8.03,8.60,10.98,12.62,12.49,8.03,5.63,12.17,10.27,6.24,7.35,11.07,5.80,10.26,12.58,15.01,10.42,1.41,9.84,1.59,8.44
2007,8.73,9.22,11.94,13.46,13.28,8.67,6.51,12.88,10.68,6.84,8.01,11.79,6.21,11.16,12.86,15.44,11.07,2.27,10.52,2.04,9.45
2008,8.55,9.12,11.62,13.19,13.06,8.41,6.23,12.66,10.70,6.86,7.75,11.65,6.32,10.90,12.92,15.25,10.75,2.13,10.26,2.14,8.99
2009,8.66,9.12,11.70,13.37,13.16,8.50,6.63,12.68,10.66,6.98,7.92,11.71,6.23,11.00,12.88,15.41,10.88,2.36,10.31,2.04,9.01
2010,8.55,9.09,11.77,13.46,13.18,8.40,6.36,12.74,10.61,6.67,7.71,11.67,6.10,10.96,12.80,15.45,10.76,2.08,10.25,1.97,9.08
2011,8.48,9.04,11.39,12.90,12.88,8.46,6.30,12.58,10.67,6.81,7.75,11.48,6.28,10.72,12.87,15.01,10.79,2.08,10.23,2.15,9.08
2012,8.63,9.22,11.65,13.19,13.04,8.57,6.35,12.63,10.66,6.94,7.90,11.63,6.29,10.97,12.82,15.47,10.83,2.29,10.35,2.12,9.15
2013,8.48,9.11,11.55,13.14,13.04,8.35,6.15,12.59,10.59,6.76,7.72,11.62,6.25,10.79,12.73,15.37,10.60,2.05,10.20,2.14,8.93
2014,9.02,9.64,12.03,13.55,13.47,8.92,6.97,13.08,11.02,7.31,8.38,12.09,6.62,11.36,13.02,15.61,11.25,2.71,10.82,2.47,9.49
2015,9.08,9.71,12.12,13.67,13.57,9.09,6.92,13.21,11.23,7.34,8.37,12.16,6.77,11.40,13.18,15.75,11.40,2.76,10.89,2.63,9.63
2016,8.64,9.20,11.78,13.30,13.15,8.60,6.40,12.71,10.77,6.90,7.89,11.67,6.26,10.99,13.02,15.35,10.89,2.20,10.37,2.03,9.11
2017,8.69,8.98,11.54,13.17,13.03,8.70,6.80,12.69,10.82,7.13,7.67,11.55,6.48,10.77,12.79,15.32,11.00,2.62,10.27,2.35,9.47
2018,8.80,9.29,11.93,13.40,13.27,8.64,6.85,12.81,10.80,7.09,7.96,11.80,6.41,11.20,12.95,15.36,10.94,2.54,10.44,2.28,9.40
2019,8.92,9.44,11.84,13.38,13.36,8.89,6.71,13.08,11.14,7.27,8.20,11.98,6.72,11.11,13.22,15.49,11.30,2.64,10.77,2.68,9.50
2020,8.78,9.41,11.74,13.39,13.18,8.74,6.44,12.91,10.97,7.22,8.05,11.79,6.40,11.03,13.04,15.48,11.14,2.55,10.59,2.11,8.91
2021,8.59,9.28,11.65,13.22,13.16,8.56,6.15,12.77,10.70,6.72,7.92,11.78,6.27,10.97,13.12,15.36,10.90,2.06,10.39,2.12,8.98
2022,8.84,9.32,11.68,13.35,13.18,8.83,6.64,12.91,11.10,7.23,8.05,11.77,6.73,10.98,13.15,15.52,11.17,2.51,10.57,2.59,9.33
2023,8.48,9.10,11.65,13.22,13.08,8.34,6.41,12.54,10.51,6.67,7.70,11.65,6.16,10.85,12.66,15.25,10.62,2.09,10.16,2.07,9.14
2024,8.66,9.30,11.71,13.36,13.21,8.58,6.40,12.82,10.78,6.89,7.94,11.83,6.39,10.98,13.08,15.47,10.96,2.16,10.44,2.26,9.13
2025,8.94,9.53,12.03,13.55,13.44,8.88,6.84,12.99,10.99,7.11,8.17,12.05,6.50,11.35,13.19,15.62,11.20,2.56,10.64,2.33,9.57
2026,8.75,9.25,11.91,13.49,13.25,8.66,6.59,12.87,10.72,6.87,8.14,11.80,6.28,11.23,12.88,15.53,11.05,2.26,10.55,2.03,9.34
2027,9.22,9.94,12.26,13.79,13.79,9.03,7.11,13.47,11.36,7.52,8.44,12.49,7.00,11.58,13.46,15.89,11.53,2.81,10.99,2.87,9.70
2028,9.11,9.74,12.31,13.81,13.74,8.91,7.05,13.21,11.01,7.20,8.36,12.31,6.59,11.53,13.25,15.94,11.27,2.74,10.83,2.39,9.71
2029,8.79,9.35,11.74,13.31,13.23,8.87,6.47,12.94,10.98,7.20,8.07,11.81,6.56,11.04,13.09,15.47,11.19,2.34,10.59,2.40,9.24
2030,9.09,9.55,12.06,13.58,13.49,9.13,6.89,13.13,11.28,7.50,8.37,12.06,6.93,11.39,13.18,15.55,11.44,2.66,10.85,2.79,9.64
2031,9.19,9.84,12.23,13.65,13.68,9.16,7.00,13.14,11.09,7.50,8.58,12.29,6.85,11.50,13.25,15.69,11.24,2.86,10.93,2.83,9.65
2032,9.08,9.64,12.05,13.59,13.49,9.03,7.06,13.11,11.08,7.36,8.38,12.11,6.64,11.40,13.21,15.71,11.30,2.85,10.80,2.47,9.64
2033,8.74,9.38,11.70,13.31,13.21,8.71,6.36,12.84,11.01,7.08,8.00,11.84,6.58,11.06,13.01,15.45,11.07,2.27,10.46,2.51,9.24
2034,9.23,9.83,12.24,13.74,13.71,9.24,6.85,13.35,11.36,7.49,8.58,12.34,6.96,11.63,13.45,15.87,11.60,2.69,11.03,2.84,9.70
2035,9.20,9.77,12.25,13.83,13.67,8.98,7.11,13.25,11.27,7.50,8.41,12.26,6.88,11.55,13.42,15.92,11.37,2.92,10.87,2.71,9.63
2036,9.16,9.65,12.30,13.91,13.67,8.96,7.08,13.11,11.14,7.44,8.27,12.21,6.81,11.58,13.32,15.99,11.21,2.87,10.72,2.74,9.60
2037,9.06,9.53,11.99,13.64,13.46,9.11,7.00,13.10,11.10,7.47,8.23,12.03,6.61,11.29,13.33,15.76,11.30,2.72,10.71,2.41,9.76
2038,9.06,9.64,12.10,13.68,13.53,8.91,7.06,13.05,11.01,7.33,8.21,12.15,6.61,11.46,13.42,15.86,11.13,2.63,10.61,2.48,9.79
2039,8.85,9.42,12.09,13.65,13.43,8.55,6.56,12.88,10.89,7.03,8.03,12.02,6.50,11.44,13.17,15.73,11.00,2.36,10.51,2.38,9.25
2040,9.16,9.73,12.11,13.58,13.59,9.18,6.94,13.29,11.31,7.48,8.43,12.20,6.97,11.39,13.50,15.76,11.53,2.73,10.95,2.88,9.71
2041,9.08,9.68,11.98,13.52,13.45,9.03,6.82,12.98,10.92,7.47,8.30,12.04,6.76,11.35,13.26,15.78,11.13,2.86,10.67,2.78,9.51
2042,9.26,9.84,12.50,13.99,13.93,9.07,7.00,13.32,11.31,7.34,8.44,12.51,6.90,11.83,13.55,16.03,11.37,2.73,10.88,2.65,9.78
2043,9.42,10.13,12.45,14.00,13.94,9.21,7.24,13.55,11.39,7.63,8.70,12.59,7.07,11.79,13.66,16.12,11.58,2.97,11.15,2.99,9.86
2044,8.94,9.44,11.86,13.50,13.34,8.91,6.87,13.01,11.10,7.32,8.11,11.94,6.71,11.18,12.97,15.55,11.19,2.72,10.64,2.53,9.57
2045,8.85,9.42,11.99,13.57,13.42,8.75,6.45,12.95,11.11,7.11,8.02,11.97,6.68,11.30,13.04,15.71,11.05,2.37,10.52,2.49,9.27
2046,9.65,10.20,12.63,14.16,14.13,9.63,7.51,13.72,11.67,8.04,8.83,12.76,7.31,11.95,13.73,16.29,11.88,3.34,11.30,3.18,10.18
2047,8.87,9.45,11.90,13.48,13.29,8.86,6.62,12.90,11.02,7.07,8.14,11.90,6.57,11.25,13.19,15.59,11.17,2.32,10.59,2.40,9.35
2048,9.13,9.62,11.94,13.39,13.38,9.17,7.14,13.06,11.43,7.47,8.39,12.04,7.06,11.32,13.37,15.39,11.39,2.91,10.79,2.93,9.88
2049,9.20,9.78,12.31,13.81,13.76,9.11,6.87,13.36,11.40,7.44,8.45,12.33,6.90,11.56,13.69,16.01,11.54,2.77,10.96,2.67,9.61
